C:\Users\goldl\AppData\Local\Programs\Python\Python39\python.exe C:/Users/goldl/Desktop/genetics-experiments-master/text-processing.py
38,to kill a mockingbird by harper lee
116,dedication for mr lee and alice in consideration of love affection lawyers i suppose were children once
113,charles lamb chapter  when he was nearly thirteen my brother jem got his arm badly broken at the elbow
145,when it healed and jems fears of never being able to play football were assuaged he was seldom selfconscious about his injury
176,his left arm was somewhat shorter than his right when he stood or walked the back of his hand was at right angles to his body his thumb parallel to his thigh
63,he couldnt have cared less so long as he could pass and punt
139,when enough years had gone by to enable us to look back on them we sometimes discussed the events leading to his accident
135,i maintain that the ewells started it all but jem who was four years my senior said it started long before that
114,he said it began the summer dill came to us when dill first gave us the idea of making boo radley come out
98,i said if he wanted to take a broad view of the thing it really began with andrew jackson
153,if general jackson hadnt run the creeks up the creek simon finch would never have paddled up the alabama and where would we be if he hadnt
94,we were far too old to settle an argument with a fistfight so we consulted atticus
33,our father said we were both right
171,being southerners it was a source of shame to some members of the family that we had no recorded ancestors on either side of the battle of hastings
125,all we had was simon finch a furtrapping apothecary from cornwall whose piety was exceeded only by his stinginess
332,in england simon was irritated by the persecution of those who called themselves methodists at the hands of their more liberal brethren and as simon called himself a methodist he worked his way across the atlantic to philadelphia thence to jamaica thence to mobile and up the saint stephens
305,mindful of john wesleys strictures on the use of many words in buying and selling simon made a pile practicing medicine but in this pursuit he was unhappy lest he be tempted into doing what he knew was not for the glory of god as the putting on of gold and costly apparel
253,so simon having forgotten his teachers dictum on the possession of human chattels bought three slaves and with their aid established a homestead on the banks of the alabama river some forty miles above saint stephens
128,he returned to saint stephens only once to find a wife and with her established a line that ran high to daughters
46,simon lived to an impressive age and died rich
139,it was customary for the men in the family to remain on simons homestead finchs landing and make their living from cotton
254,the place was selfsufficient modest in comparison with the empires around it the landing nevertheless produced everything required to sustain life except ice wheat flour and articles of clothing supplied by riverboats from mobile
424,simon would have regarded with impotent fury the disturbance between the north and the south as it left his descendants stripped of everything but their land yet the tradition of living on the land remained unbroken until well into the twentieth century when my father atticus finch went to montgomery to read law and his younger brother went to boston to study medicine
213,their sister alexandra was the finch who remained at the landing she married a taciturn man who spent most of his time lying in a hammock by the river wondering if his trotlines were full
92,when my father was admitted to the bar he returned to maycomb and began his practice
96,maycomb some twenty miles east of finchs landing was the county seat of maycomb county
147,atticuss office in the courthouse contained little more than a hat rack a spittoon a checkerboard and an unsullied code of alabama
87,his first two clients were the last two persons hanged in the maycomb county jail
243,atticus had urged them to accept the states generosity in allowing them to plead guilty to seconddegree murder and escape with their lives but they were haverfords in maycomb county a name synonymous with jackass
331,the haverfords had dispatched maycomb s leading blacksmith in a misunderstanding arising from the alleged wrongful detention of a mare were imprudent enough to do it in the presence of three witnesses and insisted that thesonofabitchhadit comingtohim was a good enough defense for anybody
292,they persisted in pleading not guilty to firstdegree murder so there was nothing much atticus could do for his clients except be present at their departure an occasion that was probably the beginning of my fathers profound distaste for the practice of criminal law
200,during his first five years in maycomb atticus practiced economy more than anything for several years thereafter he invested his earnings in his brothers education
242,john hale finch was ten years younger than my father and chose to study medicine at a time when cotton was not worth growing but after getting uncle jack started atticus derived a reasonable income from the law
228,he liked maycomb he was maycomb county born and bred he knew his people they knew him and because of simon finchs industry atticus was related by blood or marriage to nearly every family in the town
79,maycomb was an old town but it was a tired old town when i first knew it
122,in rainy weather the streets turned to red slop grass grew on the sidewalks the courthouse sagged in the square
190,somehow it was hotter then a black dog suffered on a summers day bony mules hitched to hoover carts flicked flies in the sweltering shade of the live oaks on the square
51,mens stiff collars wilted by nine in the morning
154,ladies bathed before noon after their threeoclock naps and by nightfall were like soft teacakes with frostings of sweat and sweet talcum
23,people moved slowly then
116,they ambled across the square shuffled in and out of the stores around it took their time about everything
51,a day was twentyfour hours long but seemed longer
162,there was no hurry for there was nowhere to go nothing to buy and no money to buy it with nothing to see outside the boundaries of maycomb county
156,but it was a time of vague optimism for some of the people maycomb county had recently been told that it had nothing to fear but fear itself
102,we lived on the main residential street in town  atticus jem and i plus calpurnia our cook
121,jem and i found our father satisfactory he played with us read to us and treated us with courteous detachment
37,calpurnia was something else again
122,she was all angles and bones she was nearsighted she squinted her hand was wide as a bed slat and twice as hard
183,she was always ordering me out of the kitchen asking me why i couldnt behave as well as jem when she knew he was older and calling me home when i wasnt ready to come
38,our battles were epic and onesided
69,calpurnia always won mainly because atticus always took her side
123,she had been with us ever since jem was born and i had felt her tyrannical presence as long as i could remember
61,our mother died when i was two so i never felt her absence
109,she was a graham from montgomery atticus met her when he was first elected to the state legislature
57,he was middleaged then she was fifteen years his junior
158,jem was the product of their first year of marriage four years later i was born and two years later our mother died from a sudden heart attack
32,they said it ran in her family
38,i did not miss her but i think jem did
154,he remembered her clearly and sometimes in the middle of a game he would sigh at length then go off and play by himself behind the carhouse
60,when he was like that i knew better than to bother him
250,when i was almost six and jem was nearly ten our summertime boundaries within calling distance of calpurnia were mrs henry lafayette duboses house two doors to the north of us and the radley place three doors to the south
37,we were never tempted to break them
164,the radley place was inhabited by an unknown entity the mere description of whom was enough to make us behave for days on end mrs dubose was plain hell
37,that was the summer dill came to us
157,early one morning as we were beginning our days play in the back yard jem and i heard something next door in miss rachel haverfords collard patch
156,we went to the wire fence to see if there was a puppy  miss rachels rat terrier was expecting  instead we found someone sitting looking at us
53,sitting down he wasnt much higher than the collards
38,we stared at him until he spoke hey
35,hey yourself said jem pleasantly
34,im charles baker harris he said
48,i just thought youd like to know i can read
81,you got anything needs readin i can do it how old are you asked jem fourandahalf
13,goin on seven
60,shoot no wonder then said jem jerking his thumb at me
95,scout yonders been readin ever since she was born and she aint even started to school yet
37,you look right puny for goin on seven
31,im little but im old he said
51,jem brushed his hair back to get a better look
42,why dont you come over charles baker harris
16,lord what a name
25,s not any funniern yours
59,aunt rachel says your names jeremy atticus finch
12,jem scowled
35,im big enough to fit mine he said
29,your names longer n you are
21,bet its a foot longer
60,folks call me dill said dill struggling under the fence
57,do better if you go over it instead of under it i said
23,where d you come from
154,dill was from meridian mississippi was spending the summer with his aunt miss rachel and would be spending every summer in maycomb from now on
193,his family was from maycomb county originally his mother worked for a photographer in meridian had entered his picture in a beautiful child contest and won five dollars
83,she gave the money to dill who went to the picture show twenty times on it
102,dont have any picture shows here except jesus ones in the courthouse sometimes said jem
23,ever see anything good
98,dill had seen dracula a revelation that moved jem to eye him with the beginning of respect
23,tell it to us he said
19,dill was a curiosity
179,he wore blue linen shorts that buttoned to his shirt his hair was snow white and stuck to his head like duckfluff he was a year my senior but i towered over him
180,as he told us the old tale his blue eyes would lighten and darken his laugh was sudden and happy he habitually pulled at a cowlick in the center of his forehead
161,when dill reduced dracula to dust and jem said the show sounded better than the book i asked dill where his father was you aint said anything about him
16,i havent got one
51,no then if hes not dead youve got one havent you
105,dill blushed and jem told me to hush a sure sign that dill had been studied and found acceptable
54,thereafter the summer passed in routine contentment
259,routine contentment was improving our treehouse that rested between giant twin chinaberry trees in the back yard fussing running through our list of dramas based on the works of oliver optic victor appleton and edgar rice burroughs
42,in this matter we were lucky to have dill
134,he played the character parts formerly thrust upon me  the ape in tarzan mr crabtree in the rover boys mr damon in tom swift
130,thus we came to know dill as a pocket merlin whose head teemed with eccentric plans strange longings and quaint fancies
171,but by the end of august our repertoire was vapid from countless reproductions and it was then that dill gave us the idea of making boo radley come out
37,the radley place fascinated dill
197,in spite of our warnings and explanations it drew him as the moon draws water but drew him no nearer than the lightpole on the corner a safe distance from the radley gate
74,there he would stand his arm around the fat pole staring and wondering
62,the radley place jutted into a sharp curve beyond our house
82,walking south one faced its porch the sidewalk turned and ran beside the lot
171,the house was low was once white with a deep front porch and green shutters but had long ago darkened to the color of the slategray yard around it
94,rainrotted shingles drooped over the eaves of the veranda oak trees kept the sun away
161,the remains of a picket drunkenly guarded the front yard  a swept yard that was never swept  where johnson grass and rabbittobacco grew in abundance
48,inside the house lived a malevolent phantom
53,people said he existed but jem and i had never seen him
79,people said he went out at night when the moon was down and peeped in windows
85,when peoples azaleas froze in a cold snap it was because he had breathed on them
70,any stealthy small crimes committed in maycomb were his work
333,once the town was terrorized by a series of morbid nocturnal events peoples chickens and household pets were found mutilated although the culprit was crazy addie who eventually drowned himself in barkers eddy people still looked at the radley place unwilling to discard their initial suspicions
133,a negro would not pass the radley place at night he would cut across to the sidewalk opposite and whistle as he walked
